Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Pt (at.%)
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,-24.0,-12.0,42.7,Ni42.7Ti49.8Pt7.5 %,49.8,7.5
B. Lin; K. Gall; H.J. Maier; R. Waldron,Acta Biomaterialia,Structure and thermomechanical behavior of NiTiPt shape memory alloy wires,2009.0,-8.0,-8.0,42.7,Ni42.7Ti49.8Pt7.5 %,49.8,7.5
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,229.0,255.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,288.0,311.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,266.0,289.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,239.0,267.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
L. Kovarik; F. Yang; A. Garg; D. Diercks; M. Kaufman; R.D. Noebe; M.J. Mills,Acta Materialia,Structural analysis of a new precipitate phase in high-temperature TiNiPt shape memory alloys,2010.0,260.0,285.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,974.0,963.0,10.0,Ni10.0Ti50.0Pt40.0 %,50.0,40.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,982.0,965.0,8.0,Ni8.0Ti50.0Pt42.0 %,50.0,42.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,988.0,964.0,6.0,Ni6.0Ti50.0Pt44.0 %,50.0,44.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,986.0,964.0,5.0,Ni5.0Ti50.0Pt45.0 %,50.0,45.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,988.0,975.0,4.0,Ni4.0Ti50.0Pt46.0 %,50.0,46.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,1022.0,1009.0,3.0,Ni3.0Ti50.0Pt47.0 %,50.0,47.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,1024.0,1013.0,2.0,Ni2.0Ti50.0Pt48.0 %,50.0,48.0
T. Biggs; M.B. Cortie; M.J. Witcomb; L.A. Cornish,Platinum Metals Review,Platinum Alloys for Shape Memory Applications,2003.0,1026.0,1011.0,1.0,Ni1.0Ti50.0Pt49.0 %,50.0,49.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,46.0,51.0,45.0,Ni45.0Ti50.0Pt5.0 %,50.0,5.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,87.0,86.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,259.0,268.0,29.0,Ni29.0Ti52.0Pt19.0 %,52.0,19.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,312.0,313.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,307.0,284.0,31.0,Ni31.0Ti48.0Pt21.0 %,48.0,21.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,286.0,342.0,25.0,Ni25.0Ti53.0Pt22.0 %,53.0,22.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,459.0,444.0,32.5,Ni32.5Ti45.0Pt22.5 %,45.0,22.5
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,402.0,420.0,22.0,Ni22.0Ti53.0Pt25.0 %,53.0,25.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,436.0,449.0,25.0,Ni25.0Ti50.0Pt25.0 %,50.0,25.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,446.0,449.0,28.0,Ni28.0Ti47.0Pt25.0 %,47.0,25.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,470.0,486.0,17.5,Ni17.5Ti55.0Pt27.5 %,55.0,27.5
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,523.0,552.0,25.0,Ni25.0Ti47.0Pt28.0 %,47.0,28.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,492.0,526.0,19.0,Ni19.0Ti52.0Pt29.0 %,52.0,29.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,591.0,600.0,20.0,Ni20.0Ti50.0Pt30.0 %,50.0,30.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,605.0,666.0,21.0,Ni21.0Ti48.0Pt31.0 %,48.0,31.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,811.0,838.0,10.0,Ni10.0Ti50.0Pt40.0 %,50.0,40.0
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,917.0,963.0,5.0,Ni5.0Ti50.0Pt45.0 %,50.0,45.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,29.0,36.0,45.0,Ni45.0Ti50.0Pt5.0 %,50.0,5.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,18.0,-27.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,300.0,263.0,30.0,Ni30.0Ti50.0Pt20.0 %,50.0,20.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,619.0,626.0,20.0,Ni20.0Ti50.0Pt30.0 %,50.0,30.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,217.0,119.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,274.0,167.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,249.0,158.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,230.0,138.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,229.0,121.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,234.0,114.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,233.0,121.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,226.0,123.0,34.0,Ni34.0Ti50.0Pt16.0 %,50.0,16.0
T.  Inamura; Y.Takahashi; H. Hosoda; K. Wakashima; T. Nagase; T. Nakano; Y. Umakoshi; S. Miyazaki,Materials Transactions,Martensitic Transformation Behavior and Shape Memory Properties of Ti–Ni–Pt Melt-Spun Ribbons,2006.0,20.0,-23.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
T.  Inamura; Y.Takahashi; H. Hosoda; K. Wakashima; T. Nagase; T. Nakano; Y. Umakoshi; S. Miyazaki,Materials Transactions,Martensitic Transformation Behavior and Shape Memory Properties of Ti–Ni–Pt Melt-Spun Ribbons,2006.0,53.0,42.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
T.  Inamura; Y.Takahashi; H. Hosoda; K. Wakashima; T. Nagase; T. Nakano; Y. Umakoshi; S. Miyazaki,Materials Transactions,Martensitic Transformation Behavior and Shape Memory Properties of Ti–Ni–Pt Melt-Spun Ribbons,2006.0,51.0,42.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
T.  Inamura; Y.Takahashi; H. Hosoda; K. Wakashima; T. Nagase; T. Nakano; Y. Umakoshi; S. Miyazaki,Materials Transactions,Martensitic Transformation Behavior and Shape Memory Properties of Ti–Ni–Pt Melt-Spun Ribbons,2006.0,-40.0,-62.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
T.  Inamura; Y.Takahashi; H. Hosoda; K. Wakashima; T. Nagase; T. Nakano; Y. Umakoshi; S. Miyazaki,Materials Transactions,Martensitic Transformation Behavior and Shape Memory Properties of Ti–Ni–Pt Melt-Spun Ribbons,2006.0,62.0,55.0,40.0,Ni40.0Ti50.0Pt10.0 %,50.0,10.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz; G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,325.0,313.0,49.8,Ni49.8Ti48.2Pt2.0 %,48.2,2.0
T.E. Bucheit; D.F. Susan; J.E. Massad; J.R. McElhanon; R.D. Noebe,Metallurgical and Materials Transactions A,Mechanical and Functional Behavior of High-Temperature Ni-Ti-Pt Shape Memory Alloys ,2014.0,206.0,202.0,34.0,Ni34.0Ti50.5Pt15.5 %,50.5,15.5
T.E. Bucheit; D.F. Susan; J.E. Massad; J.R. McElhanon; R.D. Noebe,Metallurgical and Materials Transactions A,Mechanical and Functional Behavior of High-Temperature Ni-Ti-Pt Shape Memory Alloys ,2014.0,213.0,204.0,33.5,Ni33.5Ti50.5Pt16.0 %,50.5,16.0
T.E. Bucheit; D.F. Susan; J.E. Massad; J.R. McElhanon; R.D. Noebe,Metallurgical and Materials Transactions A,Mechanical and Functional Behavior of High-Temperature Ni-Ti-Pt Shape Memory Alloys ,2014.0,219.0,222.0,33.0,Ni33.0Ti50.5Pt16.5 %,50.5,16.5
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,226.0,245.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,301.0,354.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,237.0,260.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,315.0,361.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,260.0,299.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,340.0,353.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,338.0,371.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,331.0,348.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,318.0,241.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,319.0,342.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,293.0,313.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,262.0,262.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,254.0,255.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,248.0,247.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,243.0,238.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,236.0,221.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,234.0,207.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,226.0,200.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,325.0,324.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,320.0,321.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,315.0,317.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,309.0,313.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,306.0,311.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,303.0,307.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,298.0,304.0,29.5,Ni29.5Ti49.5Pt21.0 %,49.5,21.0
