Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ti (at.%),composition,Au (at.%)
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,630.0,630.0,47.4,Ti47.4Au52.6 %,52.6
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,615.0,620.0,50.0,Ti50.0Au50.0 %,50.0
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,560.0,605.0,52.6,Ti52.6Au47.4 %,47.4
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,535.0,575.0,55.0,Ti55.0Au45.0 %,45.0
H. Donkersloot and J. Van Vucht,Journal of the Less Common Metals,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,390.0,290.0,57.5,Ti57.5Au42.5 %,42.5
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,618.0,610.0,47.0,Ti47.0Au53.0 %,53.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,611.0,602.0,49.0,Ti49.0Au51.0 %,51.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,618.0,608.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,587.0,574.0,51.0,Ti51.0Au49.0 %,49.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima and S. Miyazaki,Materials Science Forum,Martensitic transformation of TiAu shape memory alloys,2007.0,490.0,526.0,54.0,Ti54.0Au46.0 %,46.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier and P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,615.0,597.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin and R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,639.0,611.0,50.0,Ti50.0Au50.0 %,50.0
T. Aoki; M. Tahara; K. Goto; Y. Yamabe-Mitarai; H. Kanetaka; T. Inamura and H. Hosoda,Advanced Materials Research,Martensitic Transformation and Related Properties of AuTi-FeTi Pseudobinary Alloys,2014.0,611.0,605.0,50.0,Ti50.0Au50.0 %,50.0
A. Wadood; H. Hosoda and Y. Yamabe-Mitarai,Journal of Alloys and Compounds,Phase transformation; oxidation and shape memory properties of Ti–50Au–10Zr alloy for high temperature applications,2014.0,615.0,597.0,50.0,Ti50.0Au50.0 %,50.0
H. Shim; M. Tahara; T. Inamura; K. Goto; Y. Yamabe-Mitarai and H. Hosoda,Materials Transactions,Oxidation Behavior of Au-55 mol% Ti High Temperature Shape Memory Alloy during Heating in Ar-50 vol% O2 Environment,2015.0,502.0,519.0,55.0,Ti55.0Au45.0 %,45.0
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,630.0,630.0,47.4,Ti47.4Au52.6 %,52.6
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,615.0,620.0,50.0,Ti50.0Au50.0 %,50.0
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,560.0,605.0,52.6,Ti52.6Au47.4 %,47.4
H.C. Donkersloot; J.H.N. Van Vucht ,Journal of the Less Common Materials,Martensitic transformations in gold-titanium; palladium-titanium and platinum-titanium alloys near the equiatomic composition,1970.0,535.0,575.0,55.0,Ti55.0Au45.0 %,45.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,618.0,602.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,614.0,602.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,620.0,602.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,630.0,599.0,50.0,Ti50.0Au50.0 %,50.0
C. Declairieux; A. Denquin; P. Ochin; R. Portier; P. Vermaut,Intermetallics,On the potential of Ti50Au50 compound as a high temperature shape memory alloy,2011.0,615.0,597.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,618.0,612.0,47.0,Ti47.0Au53.0 %,53.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,611.0,602.0,49.0,Ti49.0Au51.0 %,51.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,618.0,607.0,50.0,Ti50.0Au50.0 %,50.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,585.0,576.0,51.0,Ti51.0Au49.0 %,49.0
H. Hosoda; R. Tachi; T. Inamura; K. Wakashima; S. Miyazaki,Materials Science Forum,Martensitic Transformation of TiAu Shape Memory Alloys,2007.0,490.0,526.0,54.0,Ti54.0Au46.0 %,46.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,640.0,620.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,611.0,605.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,608.0,601.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,620.0,581.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,614.0,602.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,623.0,600.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,618.0,587.0,50.0,Ti50.0Au50.0 %,50.0
P. Vermaut; C. Declairieux; P. Ochin; V. Kolomytsev; A. Pasko; G. Monastyrsky; A. Denquin; R. Portier,Journal of Alloys and Compounds,Martensitic transformation and shape memory effect at very high temperatures in HfPd; and TiAu intermetallic compounds,2013.0,632.0,599.0,50.0,Ti50.0Au50.0 %,50.0
