Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ti (at.%),composition,Pd (at.%)
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi and K. Mitose,Materials Letters,TEM observation of recrystallization process in solution-treated Ti50Pd50 martensite,1998.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka and M. Asai,Materials transactions; JIM,Martensite aging effect in Ti–Pd and Ti–Pd–Ni high temperature shape memory alloys,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,10.0,10.0,53.0,Ti53.0Pd47.0 %,47.0
M. Matsuda; S. Yano and M. Nishida,Materials Transactions,Morphology and Crystallography of Martensite Plate with Long Period Stacking Structure in Ti-Pd Shape Memory Alloy,2011.0,20.0,20.0,50.0,Ti50.0Pd50.0 %,50.0
M. Kawakita; M. Takahashi; S. Takahashi and Y. Yamabe-Mitarai,Materials Letters,Effect of Zr on phase transformation and high-temperature shape memory effect in TiPd alloys,2012.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; S. Shimizu; Y. Suzuki; K. Otsuka; T. Ueki; K. Mitose,Acta Materialia,Recovery and Recrystallization Processes in Ti-Pd-Ni High Temperature Shape Memory Alloys,1997.0,3.0,3.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,10.0,10.0,50.0,Ti50.0Pd50.0 %,50.0
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,5.0,5.0,50.0,Ti50.0Pd50.0 %,50.0
